GEO_ID,NAME,S0101_C01_001E,,,,,,,,,,,
39001,"Adams County, Ohio",27776,,,,,,,,,,,
39003,"Allen County, Ohio",103175,,,,,,,,,,,
39005,"Ashland County, Ohio",53536,,,,,,,,,,,
39007,"Ashtabula County, Ohio",97830,,,,,,,,,,,
39009,"Athens County, Ohio",65917,,,,,,,,,,,
39011,"Auglaize County, Ohio",45729,,,,,,,,,,,
39013,"Belmont County, Ohio",68024,,,,,,,,,,,
39015,"Brown County, Ohio",43572,,,,,,,,,,,
39017,"Butler County, Ohio",380019,,,,,,,,,,,
39019,"Carroll County, Ohio",27332,,,,,,,,,,,
39021,"Champaign County, Ohio",38845,,,,,,,,,,,
39023,"Clark County, Ohio",134726,,,,,,,,,,,
39025,"Clermont County, Ohio",204275,,,,,,,,,,,
39027,"Clinton County, Ohio",41957,,,,,,,,,,,
39029,"Columbiana County, Ohio",103190,,,,,,,,,,,
39031,"Coshocton County, Ohio",36585,,,,,,,,,,,
39033,"Crawford County, Ohio",41821,,,,,,,,,,,
39035,"Cuyahoga County, Ohio",1247451,,,,,,,,,,,
39037,"Darke County, Ohio",51513,,,,,,,,,,,
39039,"Defiance County, Ohio",38160,,,,,,,,,,,
39041,"Delaware County, Ohio",201135,,,,,,,,,,,
39043,"Erie County, Ohio",74780,,,,,,,,,,,
39045,"Fairfield County, Ohio",154457,,,,,,,,,,,
39047,"Fayette County, Ohio",28620,,,,,,,,,,,
39049,"Franklin County, Ohio",1290360,,,,,,,,,,,
39051,"Fulton County, Ohio",42253,,,,,,,,,,,
39053,"Gallia County, Ohio",30088,,,,,,,,,,,
39055,"Geauga County, Ohio",93843,,,,,,,,,,,
39057,"Greene County, Ohio",166502,,,,,,,,,,,
39059,"Guernsey County, Ohio",39111,,,,,,,,,,,
39061,"Hamilton County, Ohio",813589,,,,,,,,,,,
39063,"Hancock County, Ohio",75837,,,,,,,,,,,
39065,"Hardin County, Ohio",31425,,,,,,,,,,,
39067,"Harrison County, Ohio",15211,,,,,,,,,,,
39069,"Henry County, Ohio",27208,,,,,,,,,,,
39071,"Highland County, Ohio",43016,,,,,,,,,,,
39073,"Hocking County, Ohio",28390,,,,,,,,,,,
39075,"Holmes County, Ohio",43901,,,,,,,,,,,
39077,"Huron County, Ohio",58339,,,,,,,,,,,
39079,"Jackson County, Ohio",32450,,,,,,,,,,,
39081,"Jefferson County, Ohio",66371,,,,,,,,,,,
39083,"Knox County, Ohio",61481,,,,,,,,,,,
39085,"Lake County, Ohio",229954,,,,,,,,,,,
39087,"Lawrence County, Ohio",60184,,,,,,,,,,,
39089,"Licking County, Ohio",173750,,,,,,,,,,,
39091,"Logan County, Ohio",45316,,,,,,,,,,,
39093,"Lorain County, Ohio",307670,,,,,,,,,,,
39095,"Lucas County, Ohio",431102,,,,,,,,,,,
39097,"Madison County, Ohio",44135,,,,,,,,,,,
39099,"Mahoning County, Ohio",229961,,,,,,,,,,,
39101,"Marion County, Ohio",65299,,,,,,,,,,,
39103,"Medina County, Ohio",177980,,,,,,,,,,,
39105,"Meigs County, Ohio",23078,,,,,,,,,,,
39107,"Mercer County, Ohio",40884,,,,,,,,,,,
39109,"Miami County, Ohio",105371,,,,,,,,,,,
39111,"Monroe County, Ohio",13942,,,,,,,,,,,
39113,"Montgomery County, Ohio",531670,,,,,,,,,,,
39115,"Morgan County, Ohio",14640,,,,,,,,,,,
39117,"Morrow County, Ohio",35043,,,,,,,,,,,
39119,"Muskingum County, Ohio",86131,,,,,,,,,,,
39121,"Noble County, Ohio",14416,,,,,,,,,,,
39123,"Ottawa County, Ohio",40632,,,,,,,,,,,
39125,"Paulding County, Ohio",18809,,,,,,,,,,,
39127,"Perry County, Ohio",36022,,,,,,,,,,,
39129,"Pickaway County, Ohio",57762,,,,,,,,,,,
39131,"Pike County, Ohio",28000,,,,,,,,,,,
39133,"Portage County, Ohio",162511,,,,,,,,,,,
39135,"Preble County, Ohio",41093,,,,,,,,,,,
39137,"Putnam County, Ohio",33911,,,,,,,,,,,
39139,"Richland County, Ohio",121100,,,,,,,,,,,
39141,"Ross County, Ohio",76948,,,,,,,,,,,
39143,"Sandusky County, Ohio",59029,,,,,,,,,,,
39145,"Scioto County, Ohio",76040,,,,,,,,,,,
39147,"Seneca County, Ohio",55351,,,,,,,,,,,
39149,"Shelby County, Ohio",48749,,,,,,,,,,,
39151,"Stark County, Ohio",372404,,,,,,,,,,,
39153,"Summit County, Ohio",541334,,,,,,,,,,,
39155,"Trumbull County, Ohio",200367,,,,,,,,,,,
39157,"Tuscarawas County, Ohio",92335,,,,,,,,,,,
39159,"Union County, Ohio",56707,,,,,,,,,,,
39161,"Van Wert County, Ohio",28261,,,,,,,,,,,
39163,"Vinton County, Ohio",13083,,,,,,,,,,,
39165,"Warren County, Ohio",229132,,,,,,,,,,,
39167,"Washington County, Ohio",60426,,,,,,,,,,,
39169,"Wayne County, Ohio",116099,,,,,,,,,,,
39171,"Williams County, Ohio",36816,,,,,,,,,,,
39173,"Wood County, Ohio",130150,,,,,,,,,,,
39175,"Wyandot County, Ohio",22000,,,,,,,,,,,